genre_ids,origin_country,original_language,popularity,vote_average,vote_count,year
"[16, 35, 9648, 18]",['JP'],ja,22.3477,8.6,1260,2018.0
"[35, 18]",['US'],en,24.2164,7.4,585,2004.0
[18],['MX'],es,23.1351,7.145,38,2025.0
"[18, 35, 10767]",['US'],en,22.7754,5.7,7,1963.0
"[18, 10751, 10766]",['TR'],tr,24.4627,5.7,10,2014.0
"[16, 35, 10751, 10765]",['US'],en,24.7383,7.886,949,2007.0
"[18, 10766]",['US'],en,22.578,6.8,24,1982.0
[10763],['DE'],de,24.9535,4.8,4,1997.0
"[10767, 10763]",['CL'],es,23.8893,5.5,2,2011.0
[10765],['US'],en,22.1165,7.8,155,1963.0
[10759],['US'],en,23.2662,6.7,212,1976.0
"[18, 80]",['US'],en,23.3455,7.9,221,1999.0
"[80, 18, 9648]",['US'],en,23.2217,7.9,317,2005.0
"[16, 10759, 10765, 35]",['US'],en,23.032,7.9,748,2012.0
"[18, 10765]",['US'],en,25.6286,7.379,2369,2011.0
[35],['US'],en,26.0408,6.1,55,2021.0
"[18, 10751, 10759]",['TR'],tr,22.0122,8.4,8,2024.0
[18],"['GB', 'US']",en,24.2532,8.203,2228,2016.0
[10764],['US'],en,23.1995,6.3,105,2004.0
[35],['US'],en,20.4615,7.356,1534,2011.0
